query image category,total,Tshirts,Shirts,Casual Shoes,Watches,Sports Shoes,Kurtas,Handbags,Heels,Sunglasses,Flip Flops
Tshirts,300,158,99,1,8,2,29,3,0,0,0
Shirts,300,39,228,0,3,0,26,4,0,0,0
Casual Shoes,300,0,0,141,0,143,0,0,9,0,7
Watches,300,0,0,3,293,1,1,2,0,0,0
Sports Shoes,300,0,0,102,0,195,0,0,0,0,3
Kurtas,300,18,33,0,1,0,248,0,0,0,0
Handbags,300,1,3,11,23,5,4,234,4,7,8
Heels,300,0,0,65,0,44,0,0,117,16,58
Sunglasses,300,0,0,0,0,0,0,0,0,300,0
Flip Flops,300,0,0,84,0,75,0,2,33,6,100
